price_normalized,returns_normalized,rsi_normalized,macd_hist_normalized,bb_position,atr_normalized,volatility_normalized,I_trend_float
0.219298,-0.145854,0.384475,1.566681,0.932543,0.197433,1.528263,0.000000
0.331325,-0.145854,0.384475,1.566681,0.910511,0.197454,1.528263,0.000000
0.100000,-0.145854,0.384475,1.566681,0.814606,0.197542,1.528263,0.000000
0.194805,-0.145854,0.384475,1.566681,0.804238,0.197551,1.528263,0.000000
0.194245,-0.145854,0.384475,1.566681,0.551516,0.197784,1.528263,0.000000
0.515973,-0.145854,0.384475,1.566681,0.176969,0.198130,1.528263,0.000000
0.854232,-0.145854,0.384475,1.566681,0.468572,0.197861,1.528263,0.000000
0.623306,-0.145854,0.384475,1.566681,0.331195,0.197988,1.528263,0.000000
0.870861,-0.145854,0.384475,1.566681,0.634461,0.197708,1.528263,0.000000
0.340807,-0.145854,0.384475,1.566681,0.530780,0.197803,1.528263,0.000000
0.520000,-0.145854,0.384475,1.566681,0.361003,0.197960,1.528263,0.000000
0.416667,-0.145854,0.384475,1.566681,0.211962,0.198098,1.528263,0.000000
0.766234,-0.145854,0.384475,1.566681,0.314347,0.198003,1.528263,0.000000
0.482587,-0.145854,0.384475,1.566681,0.438764,0.197888,1.528263,0.000000
0.638384,-0.145854,0.351052,1.566681,0.235290,0.204692,1.528263,0.000000
0.096070,-0.145854,0.326300,1.566681,0.035704,0.207609,1.528263,0.000000
0.913486,-0.145854,0.426648,1.566681,0.405067,0.214294,1.528263,0.000000
0.993590,-0.145854,0.453939,1.566681,0.535964,0.217574,1.528263,0.000000
1.000000,-0.145854,0.513666,1.566681,0.626685,0.211828,1.528263,0.000000
0.478261,-0.145854,0.603522,1.566681,0.679821,0.177127,1.528263,0.000000
0.320819,-0.145854,0.506428,1.566681,0.521990,0.162378,1.528263,0.000000
0.000000,-0.145854,0.517419,1.566681,0.447455,0.153674,1.528263,0.000000
1.000000,-0.145854,0.507863,1.566681,0.788671,0.152755,1.528263,0.000000
0.128788,-0.145854,0.540816,1.566681,0.859163,0.154497,1.528263,1.000000
0.519174,-0.145854,0.628370,1.566681,1.000000,0.157096,1.528263,1.000000
0.470833,-0.145854,0.695244,1.566681,1.000000,0.158024,1.528263,1.000000
0.376582,-0.145854,0.702067,1.566681,1.000000,0.161570,1.528263,1.000000
0.067164,-0.145854,0.675255,1.566681,0.975217,0.164476,1.528263,1.000000
0.865385,-0.145854,0.751613,1.566681,0.944966,0.149850,1.528263,1.000000
0.581749,-0.145854,0.815826,1.566681,0.868147,0.151342,1.528263,1.000000
0.691304,-0.145854,0.798003,1.566681,0.935909,0.144188,1.528263,1.000000
0.112088,-0.145854,0.615486,1.566681,0.658970,0.157351,1.528263,1.000000
0.401575,-0.145854,0.520072,1.566681,0.468302,0.167651,1.528263,1.000000
0.830808,-0.145854,0.570969,1.566681,0.653979,0.174561,1.528263,1.000000
0.633254,-0.145854,0.732280,1.566681,1.000000,0.215127,1.528263,1.000000
0.231481,-0.145854,0.687714,1.566681,0.925672,0.226846,1.528263,1.000000
0.663415,-0.145854,0.673039,1.566681,0.929561,0.232100,1.528263,1.000000
0.170370,-0.145854,0.649335,1.566681,0.835813,0.232464,1.528263,1.000000
0.596350,-0.145854,0.718632,1.566681,1.000000,0.275414,1.528263,1.000000
0.373016,-0.145854,0.719337,1.566681,1.000000,0.291873,1.528263,1.000000
0.159091,-0.145854,0.676699,1.566681,0.952870,0.291784,1.528263,1.000000
0.300353,-0.145854,0.691399,1.566681,0.940653,0.304337,1.528263,1.000000
0.855263,-0.145854,0.695548,1.566681,0.919347,0.313750,1.528263,1.000000
0.008658,-0.145854,0.671280,1.566681,0.820546,0.312670,1.528263,1.000000
0.319905,-0.145854,0.608757,1.566681,0.693213,0.321364,1.528263,1.000000
0.794667,-0.145854,0.676435,1.566681,0.701373,0.317806,1.528263,1.000000
0.723404,-0.145854,0.751090,1.566681,0.813111,0.324966,1.528263,1.000000
0.003460,-0.145854,0.679223,1.566681,0.687309,0.320879,1.528263,1.000000
0.539568,-0.145854,0.600217,1.566681,0.691884,0.272974,1.528263,1.000000
0.657534,-0.145854,0.664888,1.566681,0.705568,0.263740,1.528263,1.000000
0.923810,-0.145854,0.669921,1.566681,0.735059,0.255009,1.528263,1.000000
0.686007,-0.145854,0.669670,1.566681,0.682717,0.256109,1.528263,1.000000
0.439286,-0.145854,0.591458,1.566681,0.825062,0.233065,1.528263,1.000000
0.134561,-0.145854,0.442654,1.566681,0.456753,0.237117,1.528263,1.000000
0.237389,-0.145854,0.419942,1.566681,0.240834,0.253210,1.528263,1.000000
0.823920,-0.145854,0.445951,1.566681,0.375357,0.254400,1.528263,1.000000
0.573394,-0.145854,0.402685,1.566681,0.177251,0.257084,1.528263,1.000000
0.087838,-0.145854,0.418556,1.566681,0.058540,0.253588,1.528263,0.000000
0.707692,-0.145854,0.494092,1.566681,0.273670,0.249162,1.528263,0.000000
0.175000,-0.145854,0.469871,1.566681,0.233428,0.240051,1.528263,0.000000
0.957014,-0.145854,0.483939,1.566681,0.665059,0.234236,1.528263,0.000000
0.037300,-0.145854,0.530019,1.566681,0.663293,0.245945,1.528263,0.000000
0.872093,-0.145854,0.525116,1.566681,0.702382,0.250979,1.528263,0.000000
0.491935,-0.145854,0.484262,1.566681,0.567270,0.257716,1.528263,0.000000
0.565432,-0.145854,0.504373,1.566681,0.777145,0.265687,1.528263,0.000000
0.092369,-0.145854,0.492001,1.566681,0.615579,0.264039,1.528263,0.000000
0.417910,-0.145854,0.426453,1.566681,0.582955,0.239659,1.528263,1.000000
0.313725,-0.145854,0.521718,1.566681,0.473465,0.220524,1.528263,1.000000
0.505263,-0.145854,0.633385,1.566681,0.619052,0.203714,1.528263,1.000000
0.152388,-0.145854,0.424115,1.566681,0.028805,0.235263,1.528263,1.000000
0.936826,-0.145854,0.500635,1.566681,0.224156,0.244139,1.528263,1.000000
0.152497,-0.145854,0.413926,1.566681,0.000000,0.270415,1.528263,0.000000
0.700272,-0.145854,0.394213,1.566681,0.019213,0.272078,1.528263,0.000000
